Tid	Kanal A
(ms)	(V)

34.14999914	2.71868800
34.19999914	2.62487700
34.24999913	2.62487700
34.29999913	2.62487700
34.34999913	2.62487700
34.39999913	2.71868800
34.44999913	2.62487700
34.49999913	2.62487700
34.54999913	2.62487700
34.59999913	2.62487700
34.64999912	2.71868800
34.69999912	2.71868800
34.74999912	2.71868800
34.79999912	2.71868800
34.84999912	2.71868800
34.89999912	2.62487700
34.94999912	2.62487700
34.99999912	2.62487700
35.04999911	2.62487700
35.09999911	2.62487700
35.14999911	2.71868800
35.19999911	2.62487700
35.24999911	2.62487700
35.29999911	2.71868800
35.34999911	2.71868800
35.39999911	2.62487700
35.44999910	2.62487700
35.49999910	2.62487700
35.54999910	2.62487700
35.59999910	2.62487700
35.64999910	2.62487700
35.69999910	2.71868800
35.74999910	2.71868800
35.79999910	2.62487700
35.84999909	2.62487700
35.89999909	2.71868800
35.94999909	2.62487700
35.99999909	2.62487700
36.04999909	2.62487700
36.09999909	2.71868800
36.14999909	2.62487700
36.19999909	2.62487700
36.24999908	2.71868800
36.29999908	2.62487700
36.34999908	2.62487700
36.39999908	2.71868800
36.44999908	2.71868800
36.49999908	2.62487700
36.54999908	2.71868800
36.59999908	2.71868800
36.64999907	2.71868800
36.69999907	2.71868800
36.74999907	2.62487700
36.79999907	2.62487700
36.84999907	2.62487700
36.89999907	2.62487700
36.94999907	2.62487700
36.99999907	2.62487700
37.04999906	2.62487700
37.09999906	2.62487700
37.14999906	2.62487700
37.19999906	2.71868800
37.24999906	2.71868800
37.29999906	2.71868800
37.34999906	2.62487700
37.39999906	2.62487700
37.44999905	2.71868800
37.49999905	2.62487700
37.54999905	2.71868800
37.59999905	2.71868800
37.64999905	2.62487700
37.69999905	2.62487700
37.74999905	2.62487700
37.79999905	2.62487700
37.84999904	2.71868800
37.89999904	2.62487700
37.94999904	2.62487700
37.99999904	2.62487700
38.04999904	2.71868800
38.09999904	2.71868800
38.14999904	2.71868800
38.19999903	2.62487700
38.24999903	2.62487700
38.29999903	2.62487700
38.34999903	2.62487700
38.39999903	2.71868800
38.44999903	2.62487700
38.49999903	2.62487700
38.54999903	2.71868800
38.59999902	2.71868800
38.64999902	2.62487700
38.69999902	2.62487700
38.74999902	2.71868800
38.79999902	2.62487700
38.84999902	2.71868800
38.89999902	2.62487700
38.94999902	2.62487700
38.99999901	2.62487700
39.04999901	2.62487700
39.09999901	2.71868800
39.14999901	2.62487700
39.19999901	2.62487700
39.24999901	2.62487700
39.29999901	2.62487700
39.34999901	2.62487700
39.39999900	2.62487700
39.44999900	2.62487700
39.49999900	2.62487700
39.54999900	2.62487700
39.59999900	2.62487700
39.64999900	2.62487700
39.69999900	2.71868800
39.74999900	2.62487700
39.79999899	2.62487700
39.84999899	2.71868800
39.89999899	2.71868800
39.94999899	2.71868800
39.99999899	2.62487700
40.04999899	2.62487700
40.09999899	2.71868800
40.14999899	2.62487700
40.19999898	2.62487700
40.24999898	2.62487700
40.29999898	2.62487700
40.34999898	2.62487700
40.39999898	2.62487700
40.44999898	2.62487700
40.49999898	2.71868800
40.54999898	2.62487700
40.59999897	2.62487700
40.64999897	2.62487700
40.69999897	2.62487700
40.74999897	2.62487700
40.79999897	2.71868800
40.84999897	2.62487700
40.89999897	2.62487700
40.94999897	2.62487700
40.99999896	2.71868800
41.04999896	2.71868800
41.09999896	2.62487700
41.14999896	2.71868800
41.19999896	2.62487700
41.24999896	2.62487700
